id,question1,question2,prediction,Probability_0,Probability_1,Raw_Prediction_0,Raw_Prediction_1
0,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0.0,0.7177858150831545,0.28221418491684547,0.9335049132322678,-0.9335049132322678
1,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0.0,0.5779491729196643,0.42205082708033576,0.31436017857899257,-0.31436017857899257
2,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0.0,0.5779491729196643,0.42205082708033576,0.31436017857899257,-0.31436017857899257
3,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0.0,0.5178795721270302,0.48212042787296994,0.07154879578705683,-0.07154879578705683
4,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
5,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
6,Should I buy tiago?,What keeps childern active and far from phone and video games?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
7,How can I be a good geologist?,What should I do to be a great geologist?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
8,When do you use シ instead of し?,"\"When do you use \"\"&\"\" instead of \"\"and\"\"?\"",1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
9,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
10,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
11,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
12,What can make Physics easy to learn?,How can you make physics easy to learn?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
13,What was your first sexual experience like?,What was your first sexual experience?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
14,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
15,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
16,What does manipulation mean?,What does manipulation means?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
17,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
18,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
19,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,1.0,0.4572886988985202,0.5427113011014798,-0.17126258700487887,0.17126258700487887
20,Why do rockets look white?,Why are rockets and boosters painted white?,0.0,0.5995117121097067,0.40048828789029334,0.4034309883787742,-0.4034309883787742
